season_end_year,player,min_playing,gls_per,ast_per,x_g_per,x_ag_per
2005,Gonzalo Colsa,1909,0.19,0,NA,NA
2005,Iván Cuéllar,90,0,0,NA,NA
2005,Leo Franco,3330,0,0,NA,NA
2005,José García Calvo,1197,0,0,NA,NA
2005,Jesper Grønkjær,1363,0,0.13,NA,NA
2005,Ariel Ibagaza,2201,0.08,0.08,NA,NA
2005,Pablo Ibáñez,3150,0.09,0.03,NA,NA
2005,Jorge Larena,1402,0.06,0.06,NA,NA
2005,Antonio López,2707,0.1,0.27,NA,NA
2005,Peter Luccin,2254,0.04,0.08,NA,NA
2005,Raúl Medina Zamora,122,0,0,NA,NA
2005,Francisco Molinero,1067,0,0.17,NA,NA
2005,Kiki Musampa,494,0,0.18,NA,NA
2005,Nano,467,0.19,0,NA,NA
2005,Braulio Nóbrega,202,0,0,NA,NA
2005,Álvaro Novo,233,0,0,NA,NA
2005,Richard Núñez,335,0.54,0,NA,NA
2005,Veljko Paunović,416,0,0,NA,NA
2005,Diego Simeone,329,0,0.27,NA,NA
2005,Marcelo Sosa,1633,0,0,NA,NA
2005,Fernando Torres,3392,0.42,0.08,NA,NA
2005,Juan Velasco Damas,1731,0,0,NA,NA
2005,José Zahínos,21,0,NA,NA,NA
2005,Kanga Akalé,2582,0.1,0.31,NA,NA
2005,René Bolf,2430,0.15,0,NA,NA
2005,Benoît Cheyrou,2506,0.04,0.22,NA,NA
2005,Fabien Cool,3375,0,0,NA,NA
2005,Mamoutou Coulibaly,11,0,NA,NA,NA
2005,Abou Diaby,193,0,0,NA,NA
2005,Damien Dufour,7,0,NA,NA,NA
2005,Arnaud Gonzalez,473,0.19,0.19,NA,NA
2005,Stéphane Grichting,1928,0.05,0.05,NA,NA
2005,Sébastien Hamel,45,0,0,NA,NA
2005,Jean-Sébastien Jaurès,2061,0.09,0,NA,NA
2005,Younès Kaboul,1180,0.08,0.08,NA,NA
2005,Bonaventure Kalou,2526,0.32,0.07,NA,NA
2005,Yann Lachuer,1924,0.05,0.14,NA,NA
2005,Lionel Mathis,2218,0.12,0.12,NA,NA
2005,Jean-Pascal Mignot,2091,0.09,0.04,NA,NA
2005,Benjani Mwaruwari,2175,0.46,0.04,NA,NA
