crime_id,crime_type,crime_date,year,crime_lat,crime_lon
v3690,Agresion,9/17/2010,2010,39.49503326,-0.374910653
v3691,Agresion,9/17/2010,2010,39.45877457,-0.394870013
v3692,Sustraccion,9/17/2010,2010,39.46298599,-0.400760084
v3693,Agresion,9/17/2010,2010,39.45479965,-0.395069987
v3694,Otros,9/17/2010,2010,39.48909378,-0.374778032
v3695,Agresion,9/17/2010,2010,39.43304062,-0.391454875
v3696,Agresion,9/17/2010,2010,39.48265457,-0.387340009
v3697,Agresion,9/17/2010,2010,39.49627686,-0.376171291
v3698,Otros,9/17/2010,2010,39.46046066,-0.365936756
v3699,Sustraccion,9/17/2010,2010,39.46814346,-0.381179988
v37,Agresion,1/7/2010,2010,39.46414948,-0.330635011
v370,Agresion,3/4/2010,2010,39.44909668,-0.37795499
v3700,Agresion,9/17/2010,2010,39.47192383,-0.396214992
v3701,Agresion,9/17/2010,2010,39.49215317,-0.390678644
v3702,Agresion,9/17/2010,2010,39.46574402,-0.381865025
v3703,Agresion,9/17/2010,2010,39.46167755,-0.371814132
v3704,Agresion,9/18/2010,2010,39.48451996,-0.375030011
v3705,Agresion,9/18/2010,2010,39.48854065,-0.383348018
v3706,Agresion,9/18/2010,2010,39.47100449,-0.377913237
v3707,Agresion,9/18/2010,2010,39.47584534,-0.389190555
v3708,Sustraccion,9/18/2010,2010,39.46370697,-0.372620761
v3709,Agresion,9/18/2010,2010,39.47137833,-0.3477844
v371,Agresion,3/4/2010,2010,39.47879028,-0.328536451
v3710,Sustraccion,9/18/2010,2010,39.45877457,-0.336665004
v3711,Agresion,9/18/2010,2010,39.45931625,-0.359784991
v3712,Agresion,9/18/2010,2010,39.47253799,-0.342985332
v3713,Agresion,9/18/2010,2010,39.49519348,-0.399680167
v3714,Agresion,9/18/2010,2010,39.47283173,-0.380863339
v3715,Agresion,9/18/2010,2010,39.46313095,-0.333415002
v3716,Agresion,9/18/2010,2010,39.46073151,-0.363498151
v3717,Agresion,9/18/2010,2010,39.48856735,-0.386714578
v3718,Agresion,9/18/2010,2010,39.49252319,-0.358424157
v3719,Agresion,9/18/2010,2010,39.49476624,-0.369094998
v372,Sustraccion,3/4/2010,2010,39.45787811,-0.365391523
v3720,Agresion,9/18/2010,2010,39.467857360000004,-0.381778628
v3721,Otros,9/18/2010,2010,39.46554184,-0.379989982
v3722,Agresion,9/18/2010,2010,39.46232224,-0.399329364
v3723,Agresion,9/18/2010,2010,39.47095871,-0.392909467
v3724,Agresion,9/18/2010,2010,39.47253799,-0.342985332
v3725,Sustraccion,9/18/2010,2010,39.48021317,-0.391712308
v3726,Otros,9/19/2010,2010,39.44921112,-0.390779376
v3727,Agresion,9/19/2010,2010,39.42170334,-0.335591614
v3728,Sustraccion,9/19/2010,2010,39.47797012,-0.393462956
v3729,Agresion,9/19/2010,2010,39.46434021,-0.388182253
v373,Agresion,3/4/2010,2010,39.46511078,-0.33050999
v3730,Sustraccion,9/19/2010,2010,39.46531296,-0.350649685
v3731,Agresion,9/19/2010,2010,39.46843338,-0.404291987
v3732,Agresion,9/19/2010,2010,39.44886017,-0.384140044
v3733,Otros,9/19/2010,2010,39.45109177,-0.376097471
v3734,Otros,9/19/2010,2010,39.49894333,-0.420655012
v3735,Sustraccion,9/19/2010,2010,39.45361328,-0.393000007
v3736,Agresion,9/19/2010,2010,39.45721436,-0.384885013
v3737,Agresion,9/19/2010,2010,39.46482468,-0.367433906
v3738,Agresion,9/19/2010,2010,39.49346924,-0.370926708
v3739,Otros,9/19/2010,2010,39.45110321,-0.390441954
v374,Agresion,3/4/2010,2010,39.45460129,-0.372053206
v3740,Sustraccion,9/19/2010,2010,39.47431946,-0.350374699
v3741,Agresion,9/19/2010,2010,39.47846222,-0.380954504
v3742,Agresion,9/19/2010,2010,39.43304062,-0.391454875
v3743,Agresion,9/19/2010,2010,39.49192047,-0.391345888
v3744,Otros,9/19/2010,2010,39.47156525,-0.34480387
v3745,Agresion,9/19/2010,2010,39.44935608,-0.385934234
v3746,Agresion,9/19/2010,2010,39.49578094,-0.375629991
v3747,Agresion,9/19/2010,2010,39.4937706,-0.371701062
v3748,Agresion,9/20/2010,2010,39.46588516,-0.391140491
v3749,Otros,9/20/2010,2010,39.48329544,-0.327148378
v375,Agresion,3/4/2010,2010,39.45442581,-0.396291226
v3750,Agresion,9/20/2010,2010,39.45959091,-0.335152417
v3751,Agresion,9/20/2010,2010,39.47636032,-0.390515
v3752,Agresion,9/20/2010,2010,39.48555756,-0.363736689
v3753,Otros,9/20/2010,2010,39.44921112,-0.390779376
v3754,Sustraccion,9/20/2010,2010,39.47757339,-0.356925011
v3755,Agresion,9/20/2010,2010,39.48391724,-0.382476687
v3756,Agresion,9/20/2010,2010,39.47844696,-0.396005541
v3757,Agresion,9/20/2010,2010,39.49624634,-0.39838475
v3758,Agresion,9/20/2010,2010,39.46957016,-0.408480048
v3759,Agresion,9/20/2010,2010,39.46033478,-0.378123701
v376,Sustraccion,3/4/2010,2010,39.4895401,-0.377609074
v3760,Agresion,9/20/2010,2010,39.49620056,-0.370555013
v3761,Sustraccion,9/21/2010,2010,39.46381378,-0.38547501
v3762,Sustraccion,9/21/2010,2010,39.46379471,-0.323695004
v3763,Sustraccion,9/21/2010,2010,39.46593475,-0.390139997
v3764,Agresion,9/21/2010,2010,39.46744919,-0.349299818
v3765,Otros,9/21/2010,2010,39.4985466,-0.375575066
v3766,Otros,9/21/2010,2010,39.49420547,-0.376632184
v3767,Agresion,9/21/2010,2010,39.43932343,-0.37709859
v3768,Agresion,9/21/2010,2010,39.46936035,-0.415203512
v3769,Agresion,9/21/2010,2010,39.46876907,-0.351200014
v377,Agresion,3/4/2010,2010,39.49519348,-0.399680167
v3770,Sustraccion,9/21/2010,2010,39.48164749,-0.354363203
v3771,Agresion,9/21/2010,2010,39.46784973,-0.378308117
v3772,Agresion,9/21/2010,2010,39.47072601,-0.351785004
v3773,Sustraccion,9/21/2010,2010,39.48397064,-0.359518886
v3774,Sustraccion,9/21/2010,2010,39.47663116,-0.334715545
v3775,Agresion,9/21/2010,2010,39.47008133,-0.353344589
v3776,Agresion,9/21/2010,2010,39.49071121,-0.389200002
v3777,Agresion,9/22/2010,2010,39.4597168,-0.373874992
v3778,Sustraccion,9/22/2010,2010,39.48192215,-0.396376938
v3779,Sustraccion,9/22/2010,2010,39.42944336,-0.364330679
v378,Sustraccion,3/4/2010,2010,39.47819901,-0.398090005
v3780,Agresion,9/22/2010,2010,39.49111176,-0.391749084
v3781,Agresion,9/22/2010,2010,39.47198868,-0.378621429
